time	intensity
0.02743484	0
0.05486968	0
0.08230452	0
0.10973936	0
0.1371742	0
0.16460904	0
0.19204388	0
0.21947872	0
0.24691356	0
0.2743484	0
0.30178324	0
0.32921808	0
0.35665292	0
0.38408776	0
0.4115226	0
0.43895744	0
0.46639228	0
0.49382712	0
0.52126196	0
0.5486968	0
0.57613164	0
0.60356648	0
0.63100132	0
0.65843616	0
0.685871	0
0.71330584	0
0.74074068	0
0.76817552	0
0.79561036	0
0.8230452	0
0.85048004	0
0.87791488	0
0.90534972	0
0.93278456	0
0.9602194	0
0.98765424	0
1.01508908	0
1.04252392	0
1.06995876	0
1.0973936	0
1.12482844	0
1.15226328	0
1.17969812	0
1.20713296	0
1.2345678	0
1.26200264	0
1.28943748	0
1.31687232	0
1.34430716	0
1.371742	0
1.39917684	0
1.42661168	0
1.45404652	0
1.48148136	0
1.5089162	0
1.53635104	0
1.56378588	0
1.59122072	0
1.61865556	0
1.6460904	0
1.67352524	0
1.70096008	0
1.72839492	0
1.75582976	0
1.7832646	0
1.81069944	0
1.83813428	0
1.86556912	0
1.89300396	0
1.9204388	0
1.94787364	0
1.97530848	0
2.00274332	0
2.03017816	0
2.057613	0
2.08504784	0
2.11248268	0
2.13991752	0
2.16735236	0
2.1947872	0
2.22222204	0
2.24965688	0
2.27709172	0
2.30452656	0
2.3319614	0
2.35939624	0
2.38683108	0
2.41426592	0
2.44170076	0
2.4691356	0
2.49657044	0
2.52400528	0
2.55144012	0
2.57887496	0
2.6063098	0
2.63374464	0
2.66117948	0
2.68861432	0
2.71604916	0
2.743484	0
2.77091884	0
2.79835368	0
2.82578852	0
2.85322336	0
2.8806582	0
2.90809304	0
2.93552788	0
2.96296272	0
2.99039756	0
3.0178324	0
3.04526724	0
3.07270208	0
3.10013692	0
3.12757176	0
3.1550066	0
3.18244144	0
3.20987628	0
3.23731112	0
3.26474596	0
3.2921808	0
3.31961564	0
3.34705048	0
3.37448532	0
3.40192016	0
3.429355	0
3.45678984	0
3.48422468	0
3.51165952	0
3.53909436	0
3.5665292	0
3.59396404	0
3.62139888	0
3.64883372	0
3.67626856	0
3.7037034	0
3.73113824	0
3.75857308	0
3.78600792	0
3.81344276	0
3.8408776	0
3.86831244	0
3.89574728	0
3.92318212	0
3.95061696	0
3.9780518	0
4.00548664	0
4.03292148	0
4.06035632	0
4.08779116	0
4.115226	0
4.14266084	0
4.17009568	0
4.19753052	0
4.22496536	0
4.2524002	0
4.27983504	0
4.30726988	0
4.33470472	0
4.36213956	0
4.3895744	0
4.41700924	0
4.44444408	0
4.47187892	0
4.49931376	0
4.5267486	0
4.55418344	0
4.58161828	0
4.60905312	0
4.63648796	0
4.6639228	0
4.69135764	0
4.71879248	0
4.74622732	0
4.77366216	0
4.801097	0
4.82853184	0
4.85596668	0
4.88340152	0
4.91083636	0
4.9382712	0
4.96570604	0
4.99314088	0
5.02057572	0
5.04801056	0
5.0754454	0
5.10288024	0
5.13031508	0
5.15774992	0
5.18518476	0
5.2126196	0
5.24005444	0
5.26748928	0
5.29492412	0
5.32235896	0
5.3497938	0
5.37722864	0
5.40466348	0
5.43209832	0
5.45953316	0
5.486968	0
5.51440284	0
5.54183768	3
5.56927252	8
5.59670736	6
5.6241422	10
5.65157704	3
5.67901188	4
5.70644672	4
5.73388156	5
5.7613164	5
5.78875124	8
5.81618608	6
5.84362092	7
5.87105576	2
5.8984906	7
5.92592544	2
5.95336028	6
5.98079512	6
6.00822996	2
6.0356648	7
6.06309964	7
6.09053448	4
6.11796932	7
6.14540416	3
6.172839	4
6.20027384	6
6.22770868	2
6.25514352	6
6.28257836	1
6.3100132	3
6.33744804	4
6.36488288	5
6.39231772	7
6.41975256	7
6.4471874	3
6.47462224	2
6.50205708	2
6.52949192	4
6.55692676	3
6.5843616	7
6.61179644	3
6.63923128	4
6.66666612	7
6.69410096	2
6.7215358	8
6.74897064	5
6.77640548	7
6.80384032	4
6.83127516	6
6.85871	12
6.88614484	8
6.91357968	9
6.94101452	5
6.96844936	7
6.9958842	5
7.02331904	8
7.05075388	7
7.07818872	8
7.10562356	11
7.1330584	4
7.16049324	4
7.18792808	5
7.21536292	4
7.24279776	4
7.2702326	3
7.29766744	4
7.32510228	3
7.35253712	5
7.37997196	8
7.4074068	7
7.43484164	8
7.46227648	4
7.48971132	4
7.51714616	3
7.544581	8
7.57201584	10
7.59945068	8
7.62688552	8
7.65432036	6
7.6817552	5
7.70919004	6
7.73662488	5
7.76405972	5
7.79149456	6
7.8189294	4
7.84636424	4
7.87379908	7
7.90123392	4
7.92866876	5
7.9561036	6
7.98353844	6
8.01097328	6
8.03840812	2
8.06584296	8
8.0932778	6
8.12071264	5
8.14814748	7
8.17558232	4
8.20301716	4
8.230452	3
8.25788684	5
8.28532168	7
8.31275652	5
8.34019136	6
8.3676262	4
8.39506104	5
8.42249588	4
8.44993072	3
8.47736556	6
8.5048004	7
8.53223524	4
8.55967008	8
8.58710492	6
8.61453976	2
8.6419746	3
8.66940944	7
8.69684428	6
8.72427912	7
8.75171396	9
8.7791488	0
8.80658364	8
8.83401848	6
8.86145332	3
8.88888816	3
8.916323	6
8.94375784	6
8.97119268	4
8.99862752	9
9.02606236	4
9.0534972	7
9.08093204	7
9.10836688	8
9.13580172	8
9.16323656	3
9.1906714	7
9.21810624	3
9.24554108	3
9.27297592	0
9.30041076	1
9.3278456	8
9.35528044	5
9.38271528	7
9.41015012	10
9.43758496	6
9.4650198	8
9.49245464	3
9.51988948	6
9.54732432	9
9.57475916	7
9.602194	7
9.62962884	5
9.65706368	2
9.68449852	5
9.71193336	8
9.7393682	6
9.76680304	5
9.79423788	4
9.82167272	3
9.84910756	6
9.8765424	13
9.90397724	2
9.93141208	9
9.95884692	3
9.98628176	6
10.0137166	10
10.04115144	11
10.06858628	4
10.09602112	3
10.12345596	5
10.1508908	6
10.17832564	0
10.20576048	4
10.23319532	5
10.26063016	5
10.288065	5
10.31549984	5
10.34293468	6
10.37036952	2
10.39780436	6
10.4252392	5
10.45267404	3
10.48010888	7
10.50754372	5
10.53497856	4
10.5624134	4
10.58984824	1
10.61728308	4
10.64471792	7
10.67215276	4
10.6995876	7
10.72702244	9
10.75445728	9
10.78189212	10
10.80932696	2
10.8367618	5
10.86419664	7
10.89163148	9
10.91906632	7
10.94650116	4
10.973936	5
11.00137084	2
11.02880568	4
11.05624052	3
11.08367536	2
11.1111102	5
11.13854504	6
11.16597988	3
11.19341472	7
11.22084956	3
11.2482844	4
11.27571924	5
11.30315408	7
11.33058892	5
11.35802376	5
11.3854586	6
11.41289344	5
11.44032828	7
11.46776312	6
11.49519796	4
11.5226328	5
11.55006764	4
11.57750248	10
11.60493732	3
11.63237216	4
11.659807	6
11.68724184	5
11.71467668	8
11.74211152	8
11.76954636	4
11.7969812	3
11.82441604	7
11.85185088	2
11.87928572	2
11.90672056	0
11.9341554	6
11.96159024	6
11.98902508	7
12.01645992	8
12.04389476	4
12.0713296	5
12.09876444	8
12.12619928	8
12.15363412	2
12.18106896	10
12.2085038	3
12.23593864	2
12.26337348	4
12.29080832	5
12.31824316	4
12.345678	6
12.37311284	8
12.40054768	7
12.42798252	5
12.45541736	10
12.4828522	6
12.51028704	3
12.53772188	8
12.56515672	7
12.59259156	3
12.6200264	2
12.64746124	6
12.67489608	6
12.70233092	8
12.72976576	4
12.7572006	5
12.78463544	6
12.81207028	10
12.83950512	7
12.86693996	8
12.8943748	3
12.92180964	11
12.94924448	9
12.97667932	5
13.00411416	5
13.031549	5
13.05898384	11
13.08641868	2
13.11385352	1
13.14128836	6
13.1687232	4
13.19615804	6
13.22359288	11
13.25102772	10
13.27846256	8
13.3058974	6
13.33333224	6
13.36076708	4
13.38820192	4
13.41563676	7
13.4430716	3
13.47050644	2
13.49794128	3
13.52537612	1
13.55281096	6
13.5802458	1
13.60768064	5
13.63511548	9
13.66255032	9
13.68998516	5
13.71742	5
13.74485484	6
13.77228968	13
13.79972452	3
13.82715936	5
13.8545942	7
13.88202904	6
13.90946388	10
13.93689872	6
13.96433356	2
13.9917684	10
14.01920324	2
14.04663808	4
14.07407292	4
14.10150776	2
14.1289426	6
14.15637744	5
14.18381228	3
14.21124712	5
14.23868196	3
14.2661168	2
14.29355164	6
14.32098648	4
14.34842132	6
14.37585616	6
14.403291	4
14.43072584	4
14.45816068	0
14.48559552	9
14.51303036	8
14.5404652	4
14.56790004	4
14.59533488	7
14.62276972	7
14.65020456	10
14.6776394	8
14.70507424	5
14.73250908	2
14.75994392	6
14.78737876	7
14.8148136	10
14.84224844	7
14.86968328	7
14.89711812	8
14.92455296	4
14.9519878	4
14.97942264	7
15.00685748	2
15.03429232	2
15.06172716	5
15.089162	2
15.11659684	5
15.14403168	4
15.17146652	5
15.19890136	8
15.2263362	5
15.25377104	6
15.28120588	0
15.30864072	5
15.33607556	6
15.3635104	5
15.39094524	4
15.41838008	2
15.44581492	5
15.47324976	6
15.5006846	4
15.52811944	4
15.55555428	4
15.58298912	7
15.61042396	4
15.6378588	6
15.66529364	5
15.69272848	6
15.72016332	3
15.74759816	8
15.775033	4
15.80246784	2
15.82990268	9
15.85733752	6
15.88477236	5
15.9122072	2
15.93964204	5
15.96707688	2
15.99451172	5
16.02194656	6
16.0493814	5
16.07681624	6
16.10425108	6
16.13168592	5
16.15912076	8
16.1865556	8
16.21399044	2
16.24142528	4
16.26886012	8
16.29629496	5
16.3237298	2
16.35116464	6
16.37859948	10
16.40603432	5
16.43346916	6
16.460904	1
16.48833884	11
16.51577368	5
16.54320852	2
16.57064336	2
16.5980782	6
16.62551304	5
16.65294788	7
16.68038272	3
16.70781756	7
16.7352524	4
16.76268724	9
16.79012208	4
16.81755692	3
16.84499176	4
