time	intensity
0.02743484	0.0
0.05486968	0.0
0.08230452	0.0
0.10973936	0.0
0.1371742	0.0
0.16460904	0.0
0.19204388	0.0
0.21947872	0.0
0.24691356	0.0
0.2743484	0.0
0.30178324	0.0
0.32921808	0.0
0.35665292	0.0
0.38408776	0.0
0.4115226	0.0
0.43895744	0.0
0.46639228	0.0
0.49382712	0.0
0.52126196	0.0
0.5486968	0.0
0.57613164	0.0
0.60356648	0.0
0.63100132	0.0
0.65843616	0.0
0.685871	0.0
0.71330584	0.0
0.74074068	0.0
0.76817552	0.0
0.79561036	0.0
0.8230452	0.0
0.85048004	0.0
0.87791488	0.0
0.90534972	0.0
0.93278456	0.0
0.9602194	0.0
0.98765424	0.0
1.01508908	0.0
1.04252392	0.0
1.06995876	0.0
1.0973936	0.0
1.12482844	0.0
1.15226328	0.0
1.17969812	0.0
1.20713296	0.0
1.2345678	0.0
1.26200264	0.0
1.28943748	0.0
1.31687232	0.0
1.34430716	0.0
1.371742	0.0
1.39917684	0.0
1.42661168	0.0
1.45404652	0.0
1.48148136	0.0
1.5089162	0.0
1.53635104	0.0
1.56378588	0.0
1.59122072	0.0
1.61865556	0.0
1.6460904	0.0
1.67352524	0.0
1.70096008	0.0
1.72839492	0.0
1.75582976	0.0
1.7832646	0.0
1.81069944	0.0
1.83813428	0.0
1.86556912	0.0
1.89300396	0.0
1.9204388	0.0
1.94787364	0.0
1.97530848	0.0
2.00274332	0.0
2.03017816	0.0
2.057613	0.0
2.08504784	0.0
2.11248268	0.0
2.13991752	0.0
2.16735236	0.0
2.1947872	0.0
2.22222204	0.0
2.24965688	0.0
2.27709172	0.0
2.30452656	0.0
2.3319614	0.0
2.35939624	0.0
2.38683108	0.0
2.41426592	0.0
2.44170076	0.0
2.4691356	0.0
2.49657044	0.0
2.52400528	0.0
2.55144012	0.0
2.57887496	0.0
2.6063098	0.0
2.63374464	0.0
2.66117948	0.0
2.68861432	0.0
2.71604916	0.0
2.743484	0.0
2.77091884	0.0
2.79835368	0.0
2.82578852	0.0
2.85322336	0.0
2.8806582	0.0
2.90809304	0.0
2.93552788	0.0
2.96296272	0.0
2.99039756	0.0
3.0178324	0.0
3.04526724	0.0
3.07270208	0.0
3.10013692	0.0
3.12757176	0.0
3.1550066	0.0
3.18244144	0.0
3.20987628	0.0
3.23731112	0.0
3.26474596	0.0
3.2921808	0.0
3.31961564	0.0
3.34705048	0.0
3.37448532	0.0
3.40192016	0.0
3.429355	0.0
3.45678984	0.0
3.48422468	0.0
3.51165952	0.0
3.53909436	0.0
3.5665292	0.0
3.59396404	0.0
3.62139888	0.0
3.64883372	0.0
3.67626856	0.0
3.7037034	0.0
3.73113824	0.0
3.75857308	0.0
3.78600792	0.0
3.81344276	0.0
3.8408776	0.0
3.86831244	0.0
3.89574728	0.0
3.92318212	0.0
3.95061696	0.0
3.9780518	0.0
4.00548664	0.0
4.03292148	0.0
4.06035632	0.0
4.08779116	0.0
4.115226	0.0
4.14266084	0.0
4.17009568	0.0
4.19753052	0.0
4.22496536	0.0
4.2524002	0.0
4.27983504	0.0
4.30726988	0.0
4.33470472	0.0
4.36213956	0.0
4.3895744	0.0
4.41700924	0.0
4.44444408	0.0
4.47187892	0.0
4.49931376	0.0
4.5267486	0.0
4.55418344	0.0
4.58161828	0.0
4.60905312	0.0
4.63648796	0.0
4.6639228	0.0
4.69135764	0.0
4.71879248	0.0
4.74622732	0.0
4.77366216	0.0
4.801097	0.0
4.82853184	0.0
4.85596668	0.0
4.88340152	0.0
4.91083636	0.0
4.9382712	0.0
4.96570604	0.0
4.99314088	0.0
5.02057572	0.0
5.04801056	0.0
5.0754454	0.0
5.10288024	0.0
5.13031508	0.0
5.15774992	0.0
5.18518476	0.0
5.2126196	0.0
5.24005444	0.0
5.26748928	0.0
5.29492412	0.0
5.32235896	0.0
5.3497938	0.0
5.37722864	0.0
5.40466348	0.0
5.43209832	0.0
5.45953316	0.0
5.486968	0.0
5.51440284	0.0
5.54183768	0.0003
5.56927252	0.0008
5.59670736	0.0006
5.6241422	0.001
5.65157704	0.0003
5.67901188	0.0004
5.70644672	0.0004
5.73388156	0.0005
5.7613164	0.0005
5.78875124	0.0008
5.81618608	0.0006
5.84362092	0.0007
5.87105576	0.0002
5.8984906	0.0007
5.92592544	0.0002
5.95336028	0.0006
5.98079512	0.0006
6.00822996	0.0002
6.0356648	0.0007
6.06309964	0.0007
6.09053448	0.0004
6.11796932	0.0007
6.14540416	0.0003
6.172839	0.0004
6.20027384	0.0006
6.22770868	0.0002
6.25514352	0.0006
6.28257836	0.0001
6.3100132	0.0003
6.33744804	0.0004
6.36488288	0.0005
6.39231772	0.0007
6.41975256	0.0007
6.4471874	0.0003
6.47462224	0.0002
6.50205708	0.0002
6.52949192	0.0004
6.55692676	0.0003
6.5843616	0.0007
6.61179644	0.0003
6.63923128	0.0004
6.66666612	0.0007
6.69410096	0.0002
6.7215358	0.0008
6.74897064	0.0005
6.77640548	0.0007
6.80384032	0.0004
6.83127516	0.0006
6.85871	0.0012
6.88614484	0.0008
6.91357968	0.0009
6.94101452	0.0005
6.96844936	0.0007
6.9958842	0.0005
7.02331904	0.0008
7.05075388	0.0007
7.07818872	0.0008
7.10562356	0.0011
7.1330584	0.0004
7.16049324	0.0004
7.18792808	0.0005
7.21536292	0.0004
7.24279776	0.0004
7.2702326	0.0003
7.29766744	0.0004
7.32510228	0.0003
7.35253712	0.0005
7.37997196	0.0008
7.4074068	0.0007
7.43484164	0.0008
7.46227648	0.0004
7.48971132	0.0004
7.51714616	0.0003
7.544581	0.0008
7.57201584	0.001
7.59945068	0.0008
7.62688552	0.0008
7.65432036	0.0006
7.6817552	0.0005
7.70919004	0.0006
7.73662488	0.0005
7.76405972	0.0005
7.79149456	0.0006
7.8189294	0.0004
7.84636424	0.0004
7.87379908	0.0007
7.90123392	0.0004
7.92866876	0.0005
7.9561036	0.0006
7.98353844	0.0006
8.01097328	0.0006
8.03840812	0.0002
8.06584296	0.0008
8.0932778	0.0006
8.12071264	0.0005
8.14814748	0.0007
8.17558232	0.0004
8.20301716	0.0004
8.230452	0.0003
8.25788684	0.0005
8.28532168	0.0007
8.31275652	0.0005
8.34019136	0.0006
8.3676262	0.0004
8.39506104	0.0005
8.42249588	0.0004
8.44993072	0.0003
8.47736556	0.0006
8.5048004	0.0007
8.53223524	0.0004
8.55967008	0.0008
8.58710492	0.0006
8.61453976	0.0002
8.6419746	0.0003
8.66940944	0.0007
8.69684428	0.0006
8.72427912	0.0007
8.75171396	0.0009
8.7791488	0.0
8.80658364	0.0008
8.83401848	0.0006
8.86145332	0.0003
8.88888816	0.0003
8.916323	0.0006
8.94375784	0.0006
8.97119268	0.0004
8.99862752	0.0009
9.02606236	0.0004
9.0534972	0.0007
9.08093204	0.0007
9.10836688	0.0008
9.13580172	0.0008
9.16323656	0.0003
9.1906714	0.0007
9.21810624	0.0003
9.24554108	0.0003
9.27297592	0.0
9.30041076	0.0001
9.3278456	0.0008
9.35528044	0.0005
9.38271528	0.0007
9.41015012	0.001
9.43758496	0.0006
9.4650198	0.0008
9.49245464	0.0003
9.51988948	0.0006
9.54732432	0.0009
9.57475916	0.0007
9.602194	0.0007
9.62962884	0.0005
9.65706368	0.0002
9.68449852	0.0005
9.71193336	0.0008
9.7393682	0.0006
9.76680304	0.0005
9.79423788	0.0004
9.82167272	0.0003
9.84910756	0.0006
9.8765424	0.0013
9.90397724	0.0002
9.93141208	0.0009
9.95884692	0.0003
9.98628176	0.0006
10.0137166	0.001
10.04115144	0.0011
10.06858628	0.0004
10.09602112	0.0003
10.12345596	0.0005
10.1508908	0.0006
10.17832564	0.0
10.20576048	0.0004
10.23319532	0.0005
10.26063016	0.0005
10.288065	0.0005
10.31549984	0.0005
10.34293468	0.0006
10.37036952	0.0002
10.39780436	0.0006
10.4252392	0.0005
10.45267404	0.0003
10.48010888	0.0007
10.50754372	0.0005
10.53497856	0.0004
10.5624134	0.0004
10.58984824	0.0001
10.61728308	0.0004
10.64471792	0.0007
10.67215276	0.0004
10.6995876	0.0007
10.72702244	0.0009
10.75445728	0.0009
10.78189212	0.001
10.80932696	0.0002
10.8367618	0.0005
10.86419664	0.0007
10.89163148	0.0009
10.91906632	0.0007
10.94650116	0.0004
10.973936	0.0005
11.00137084	0.0002
11.02880568	0.0004
11.05624052	0.0003
11.08367536	0.0002
11.1111102	0.0005
11.13854504	0.0006
11.16597988	0.0003
11.19341472	0.0007
11.22084956	0.0003
11.2482844	0.0004
11.27571924	0.0005
11.30315408	0.0007
11.33058892	0.0005
11.35802376	0.0005
11.3854586	0.0006
11.41289344	0.0005
11.44032828	0.0007
11.46776312	0.0006
11.49519796	0.0004
11.5226328	0.0005
11.55006764	0.0004
11.57750248	0.001
11.60493732	0.0003
11.63237216	0.0004
11.659807	0.0006
11.68724184	0.0005
11.71467668	0.0008
11.74211152	0.0008
11.76954636	0.0004
11.7969812	0.0003
11.82441604	0.0007
11.85185088	0.0002
11.87928572	0.0002
11.90672056	0.0
11.9341554	0.0006
11.96159024	0.0006
11.98902508	0.0007
12.01645992	0.0008
12.04389476	0.0004
12.0713296	0.0005
12.09876444	0.0008
12.12619928	0.0008
12.15363412	0.0002
12.18106896	0.001
12.2085038	0.0003
12.23593864	0.0002
12.26337348	0.0004
12.29080832	0.0005
12.31824316	0.0004
12.345678	0.0006
12.37311284	0.0008
12.40054768	0.0007
12.42798252	0.0005
12.45541736	0.001
12.4828522	0.0006
12.51028704	0.0003
12.53772188	0.0008
12.56515672	0.0007
12.59259156	0.0003
12.6200264	0.0002
12.64746124	0.0006
12.67489608	0.0006
12.70233092	0.0008
12.72976576	0.0004
12.7572006	0.0005
12.78463544	0.0006
12.81207028	0.001
12.83950512	0.0007
12.86693996	0.0008
12.8943748	0.0003
12.92180964	0.0011
12.94924448	0.0009
12.97667932	0.0005
13.00411416	0.0005
13.031549	0.0005
13.05898384	0.0011
13.08641868	0.0002
13.11385352	0.0001
13.14128836	0.0006
13.1687232	0.0004
13.19615804	0.0006
13.22359288	0.0011
13.25102772	0.001
13.27846256	0.0008
13.3058974	0.0006
13.33333224	0.0006
13.36076708	0.0004
13.38820192	0.0004
13.41563676	0.0007
13.4430716	0.0003
13.47050644	0.0002
13.49794128	0.0003
13.52537612	0.0001
13.55281096	0.0006
13.5802458	0.0001
13.60768064	0.0005
13.63511548	0.0009
13.66255032	0.0009
13.68998516	0.0005
13.71742	0.0005
13.74485484	0.0006
13.77228968	0.0013
13.79972452	0.0003
13.82715936	0.0005
13.8545942	0.0007
13.88202904	0.0006
13.90946388	0.001
13.93689872	0.0006
13.96433356	0.0002
13.9917684	0.001
14.01920324	0.0002
14.04663808	0.0004
14.07407292	0.0004
14.10150776	0.0002
14.1289426	0.0006
14.15637744	0.0005
14.18381228	0.0003
14.21124712	0.0005
14.23868196	0.0003
14.2661168	0.0002
14.29355164	0.0006
14.32098648	0.0004
